Locations,Total Cases,Rate,collect_time,Deaths,Death_rate
Los Angeles - Westlake,406,684.02,2020/5/12,,
Los Angeles - Westwood,58,107.19,2020/5/12,,
Los Angeles - Wholesale District*,267,739.02,2020/5/12,,
Los Angeles - Wilmington,133,235.45,2020/5/12,,
Los Angeles - Wilshire Center,155,308.95,2020/5/12,,
Los Angeles - Winnetka,213,411.31,2020/5/12,,
Los Angeles - Woodland Hills,132,193.96,2020/5/12,,
Unincorporated - Acton,8,100.36,2020/5/12,,
Unincorporated - Agua Dulce,3,72.15,2020/5/12,,
Unincorporated - Altadena,105,240.72,2020/5/12,,
Unincorporated - Anaverde,1,66.31,2020/5/12,,
Unincorporated - Angeles National Forest,0,0,2020/5/12,,
Unincorporated - Arcadia,4,50.12,2020/5/12,,
Unincorporated - Athens-Westmont,141,332.22,2020/5/12,,
Unincorporated - Athens Village,20,408.41,2020/5/12,,
Unincorporated - Avocado Heights,14,206.64,2020/5/12,,
Unincorporated - Azusa,34,213.53,2020/5/12,,
Unincorporated - Bassett,39,263.21,2020/5/12,,
Unincorporated - Bouquet Canyon,0,0,2020/5/12,,
Unincorporated - Bradbury,0,0,2020/5/12,,
Unincorporated - Canyon Country,28,362.32,2020/5/12,,
Unincorporated - Castaic*,209,768.64,2020/5/12,,
Unincorporated - Cerritos,0,0,2020/5/12,,
Unincorporated - Charter Oak,0,0,2020/5/12,,
Unincorporated - Claremont,0,0,2020/5/12,,
Unincorporated - Covina,37,219.99,2020/5/12,,
Unincorporated - Covina (Charter Oak),25,190.2,2020/5/12,,
Unincorporated - Del Aire,11,250.4,2020/5/12,,
Unincorporated - Del Rey,0,0,2020/5/12,,
Unincorporated - Del Sur,2,82.82,2020/5/12,,
Unincorporated - Desert View Highlands,4,160.45,2020/5/12,,
Unincorporated - Duarte,10,225.84,2020/5/12,,
Unincorporated - East Covina,0,0,2020/5/12,,
Unincorporated - East La Mirada,9,170.07,2020/5/12,,
Unincorporated - East Lancaster,0,0,2020/5/12,,
Unincorporated - East Los Angeles,491,391.96,2020/5/12,,
Unincorporated - East Pasadena,0,0,2020/5/12,,
Unincorporated - East Rancho Dominguez,27,176.38,2020/5/12,,
Unincorporated - East Whittier,6,113.08,2020/5/12,,
Unincorporated - El Camino Village,14,159.25,2020/5/12,,
Unincorporated - El Monte,0,0,2020/5/12,,
Unincorporated - Elizabeth Lake,1,60.2,2020/5/12,,
Unincorporated - Florence-Firestone,315,486.82,2020/5/12,,
Unincorporated - Franklin Canyon,0,0,2020/5/12,,
Unincorporated - Glendora,2,303.03,2020/5/12,,
Unincorporated - Hacienda Heights,73,130.53,2020/5/12,,
Unincorporated - Harbor Gateway,0,0,2020/5/12,,
Unincorporated - Hawthorne,4,159.11,2020/5/12,,
Unincorporated - Hi Vista,0,0,2020/5/12,,
Unincorporated - Kagel/Lopez Canyons,2,141.64,2020/5/12,,
Unincorporated - La Crescenta-Montrose,21,106.06,2020/5/12,,
Unincorporated - La Habra Heights,0,0,2020/5/12,,
Unincorporated - La Rambla,7,337.35,2020/5/12,,
Unincorporated - La Verne,3,147.06,2020/5/12,,
Unincorporated - Ladera Heights,17,240.42,2020/5/12,,
Unincorporated - Lake Hughes,0,0,2020/5/12,,
Unincorporated - Lake Los Angeles,25,192.4,2020/5/12,,
Unincorporated - Lake Manor,3,182.59,2020/5/12,,
Unincorporated - Lakewood,0,0,2020/5/12,,
Unincorporated - Lennox,71,314.97,2020/5/12,,
Unincorporated - Leona Valley,1,57.11,2020/5/12,,
Unincorporated - Littlerock,11,273.56,2020/5/12,,
Unincorporated - Littlerock/Juniper Hills,2,154.2,2020/5/12,,
Unincorporated - Littlerock/Pearblossom,11,308.21,2020/5/12,,
Unincorporated - Llano,1,114.03,2020/5/12,,
Unincorporated - Marina del Rey,13,138.14,2020/5/12,,
Unincorporated - Miracle Mile,0,0,2020/5/12,,
Unincorporated - Monrovia,15,386.5,2020/5/12,,
Unincorporated - Newhall,0,0,2020/5/12,,
Unincorporated - North Lancaster,4,333.89,2020/5/12,,
Unincorporated - North Whittier,7,83.73,2020/5/12,,
Unincorporated - Northeast San Gabriel,24,99.85,2020/5/12,,
Unincorporated - Palmdale,4,475.06,2020/5/12,,
Unincorporated - Palos Verdes Peninsula,0,0,2020/5/12,,
Unincorporated - Pearblossom/Llano,2,102.25,2020/5/12,,
Unincorporated - Pellissier Village,0,0,2020/5/12,,
Unincorporated - Placerita Canyon,0,0,2020/5/12,,
Unincorporated - Pomona,1,51.6,2020/5/12,,
Unincorporated - Quartz Hill,29,224.7,2020/5/12,,
Unincorporated - Rancho Dominguez,12,450.96,2020/5/12,,
Unincorporated - Roosevelt,0,0,2020/5/12,,
Unincorporated - Rosewood,5,388.8,2020/5/12,,
Unincorporated - Rosewood/East Gardena,0,0,2020/5/12,,
Unincorporated - Rosewood/West Rancho Dominguez,11,327.28,2020/5/12,,
Unincorporated - Rowland Heights,72,141.12,2020/5/12,,
Unincorporated - San Clemente Island,0,0,2020/5/12,,
Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0,2020/5/12,,
Unincorporated - San Jose Hills,33,163.2,2020/5/12,,
Unincorporated - San Pasqual,0,0,2020/5/12,,
Unincorporated - Sand Canyon,0,0,2020/5/12,,
Unincorporated - Santa Catalina Island,2,749.06,2020/5/12,,
Unincorporated - Santa Monica Mountains,20,107.41,2020/5/12,,
Unincorporated - Saugus,4,2580.65,2020/5/12,,
Unincorporated - Saugus/Canyon Country,0,0,2020/5/12,,
Unincorporated - South Antelope Valley,0,0,2020/5/12,,
Unincorporated - South El Monte,2,111.42,2020/5/12,,
Unincorporated - South San Gabriel,21,237.34,2020/5/12,,
Unincorporated - South Whittier,88,148.59,2020/5/12,,
Unincorporated - Southeast Antelope Valley,0,0,2020/5/12,,
Unincorporated - Stevenson Ranch,24,114.47,2020/5/12,,
Unincorporated - Sun Village,7,115.97,2020/5/12,,
Unincorporated - Sunrise Village,1,77.16,2020/5/12,,
Unincorporated - Twin Lakes/Oat Mountain,4,241.25,2020/5/12,,
Unincorporated - Val Verde,5,151.1,2020/5/12,,
Unincorporated - Valencia,6,195.31,2020/5/12,,
Unincorporated - Valinda,37,158.32,2020/5/12,,
Unincorporated - View Park/Windsor Hills,28,240.65,2020/5/12,,
Unincorporated - Walnut Park,60,371.68,2020/5/12,,
Unincorporated - West Antelope Valley,2,132.36,2020/5/12,,
Unincorporated - West Carson,79,357.69,2020/5/12,,
Unincorporated - West Chatsworth,0,0,2020/5/12,,
Unincorporated - West LA,22,2310.92,2020/5/12,,
Unincorporated - West Puente Valley,27,274.53,2020/5/12,,
Unincorporated - West Rancho Dominguez,3,220.75,2020/5/12,,
Unincorporated - West Whittier/Los Nietos,65,241.41,2020/5/12,,
Unincorporated - Westfield/Academy Hills,0,0,2020/5/12,,
Unincorporated - Westhills,0,0,2020/5/12,,
Unincorporated - White Fence Farms,2,54.3,2020/5/12,,
Unincorporated - Whittier,6,158.56,2020/5/12,,
Unincorporated - Whittier Narrows,0,0,2020/5/12,,
Unincorporated - Willowbrook,91,260.65,2020/5/12,,
Unincorporated - Wiseburn,9,149.33,2020/5/12,,
#NAME?,1699,,2020/5/12,,
City of Agoura Hills,32,153.23,2020/5/13,,
City of Alhambra,135,155.67,2020/5/13,,
City of Arcadia,62,107.35,2020/5/13,,
City of Artesia,17,101.22,2020/5/13,,
City of Avalon,0,0,2020/5/13,,
City of Azusa,111,221.82,2020/5/13,,
City of Baldwin Park*,168,218.84,2020/5/13,,
City of Bell,177,487.17,2020/5/13,,
City of Bell Gardens,149,345.94,2020/5/13,,
City of Bellflower*,216,277.87,2020/5/13,,
City of Beverly Hills,120,347.62,2020/5/13,,
City of Bradbury,2,187.09,2020/5/13,,
City of Burbank,318,296.7,2020/5/13,,
City of Calabasas,48,197.34,2020/5/13,,
City of Carson*,323,344.18,2020/5/13,,
City of Cerritos*,78,155.79,2020/5/13,,
City of Claremont*,30,82.23,2020/5/13,,
City of Commerce,22,168.34,2020/5/13,,
City of Compton*,313,313.3,2020/5/13,,
City of Covina*,115,234.54,2020/5/13,,
City of Cudahy,109,447.69,2020/5/13,,
City of Culver City,121,303.52,2020/5/13,,
City of Diamond Bar,45,78.24,2020/5/13,,
City of Downey*,331,289.68,2020/5/13,,
City of Duarte,94,426.96,2020/5/13,,
City of El Monte*,273,232.8,2020/5/13,,
City of El Segundo,30,178.72,2020/5/13,,
City of Gardena,197,321.32,2020/5/13,,
City of Glendale*,785,380.16,2020/5/13,,
City of Glendora*,79,149.72,2020/5/13,,
City of Hawaiian Gardens,16,109.02,2020/5/13,,
City of Hawthorne*,273,307.48,2020/5/13,,
City of Hermosa Beach,25,127.1,2020/5/13,,
City of Hidden Hills,1,52.91,2020/5/13,,
City of Huntington Park,231,388.34,2020/5/13,,
City of Industry,11,2517.16,2020/5/13,,
City of Inglewood*,449,395.31,2020/5/13,,
City of Irwindale,4,274.16,2020/5/13,,
City of La Canada Flintridge*,46,222.3,2020/5/13,,
City of La Habra Heights,7,128.32,2020/5/13,,
City of La Mirada*,83,167.34,2020/5/13,,
City of La Puente*,58,142.52,2020/5/13,,
City of La Verne,23,69.11,2020/5/13,,
City of Lakewood*,118,146.84,2020/5/13,,
City of Lancaster*,438,271.09,2020/5/13,,
City of Lawndale,81,240.97,2020/5/13,,
City of Lomita,43,207.44,2020/5/13,,
City of Lynwood*,295,409.45,2020/5/13,,
City of Malibu,32,246.89,2020/5/13,,
City of Manhattan Beach,71,197.23,2020/5/13,,
City of Maywood,113,402.87,2020/5/13,,
City of Monrovia,107,275.77,2020/5/13,,
City of Montebello*,231,358.83,2020/5/13,,
City of Monterey Park*,111,178.28,2020/5/13,,
City of Norwalk*,270,250.88,2020/5/13,,
City of Palmdale*,527,331.51,2020/5/13,,
City of Palos Verdes Estates,40,295.81,2020/5/13,,
City of Paramount,188,335.58,2020/5/13,,
City of Pico Rivera*,287,446.46,2020/5/13,,
City of Pomona*,279,178.93,2020/5/13,,
City of Rancho Palos Verdes,76,177.79,2020/5/13,,
City of Redondo Beach,120,174.68,2020/5/13,,
City of Rolling Hills,2,103.09,2020/5/13,,
City of Rolling Hills Estates,13,160.24,2020/5/13,,
City of Rosemead,59,106.59,2020/5/13,,
City of San Dimas,38,110.09,2020/5/13,,
City of San Fernando,140,568.83,2020/5/13,,
City of San Gabriel*,77,188.02,2020/5/13,,
City of San Marino,18,135.57,2020/5/13,,
City of Santa Clarita*,529,239.99,2020/5/13,,
City of Santa Fe Springs,35,190.59,2020/5/13,,
City of Santa Monica,222,240.14,2020/5/13,,
City of Sierra Madre,8,72.8,2020/5/13,,
City of Signal Hill,15,127.15,2020/5/13,,
City of South El Monte,47,225.04,2020/5/13,,
City of South Gate,333,339.26,2020/5/13,,
City of South Pasadena*,107,410.7,2020/5/13,,
City of Temple City*,97,266.08,2020/5/13,,
City of Torrance*,327,219.07,2020/5/13,,
City of Vernon,1,478.47,2020/5/13,,
City of Walnut,30,98.26,2020/5/13,,
City of West Covina*,190,175.54,2020/5/13,,
City of West Hollywood,150,405.94,2020/5/13,,
City of Westlake Village,6,71.77,2020/5/13,,
City of Whittier*,197,225.32,2020/5/13,,
Los Angeles*,16610,410.67,2020/5/13,,
Los Angeles - Adams-Normandie,33,402.34,2020/5/13,,
Los Angeles - Alsace,37,297.31,2020/5/13,,
Los Angeles - Angeles National Forest,0,0,2020/5/13,,
Los Angeles - Angelino Heights,11,439.65,2020/5/13,,
Los Angeles - Arleta,177,514.98,2020/5/13,,
Los Angeles - Atwater Village,38,259.1,2020/5/13,,
Los Angeles - Baldwin Hills*,99,318.07,2020/5/13,,
Los Angeles - Bel Air,32,379.64,2020/5/13,,
Los Angeles - Beverly Crest,35,279.44,2020/5/13,,
Los Angeles - Beverlywood,34,258.1,2020/5/13,,
Los Angeles - Boyle Heights*,349,401.69,2020/5/13,,
Los Angeles - Brentwood,70,226.13,2020/5/13,,
Los Angeles - Brookside,0,0,2020/5/13,,
Los Angeles - Cadillac-Corning,25,351.07,2020/5/13,,
Los Angeles - Canoga Park,396,606.53,2020/5/13,,
Los Angeles - Carthay,71,494.33,2020/5/13,,
Los Angeles - Central,211,541.14,2020/5/13,,
Los Angeles - Century City,33,257.97,2020/5/13,,
Los Angeles - Century Palms/Cove,137,405.73,2020/5/13,,
Los Angeles - Chatsworth*,136,366.96,2020/5/13,,
Los Angeles - Cheviot Hills,18,196.27,2020/5/13,,
Los Angeles - Chinatown,12,149.61,2020/5/13,,
Los Angeles - Cloverdale/Cochran,46,316.09,2020/5/13,,
Los Angeles - Country Club Park,79,521.35,2020/5/13,,
Los Angeles - Crenshaw District,60,433.87,2020/5/13,,
Los Angeles - Crestview,77,677.34,2020/5/13,,
Los Angeles - Del Rey,59,197.09,2020/5/13,,
Los Angeles - Downtown,95,345.37,2020/5/13,,
Los Angeles - Eagle Rock,139,351.11,2020/5/13,,
Los Angeles - East Hollywood*,175,597.53,2020/5/13,,
Los Angeles - Echo Park,34,238.5,2020/5/13,,
Los Angeles - El Sereno*,124,296.59,2020/5/13,,
Los Angeles - Elysian Park,12,210.08,2020/5/13,,
Los Angeles - Elysian Valley,34,334.28,2020/5/13,,
Los Angeles - Encino*,106,234.66,2020/5/13,,
Los Angeles - Exposition,6,180.4,2020/5/13,,
Los Angeles - Exposition Park,188,418.55,2020/5/13,,
Los Angeles - Faircrest Heights,4,111.11,2020/5/13,,
Los Angeles - Figueroa Park Square,25,286.66,2020/5/13,,
Los Angeles - Florence-Firestone,220,463.69,2020/5/13,,
Los Angeles - Glassell Park*,144,455.64,2020/5/13,,
Los Angeles - Gramercy Place,44,408.77,2020/5/13,,
Los Angeles - Granada Hills*,183,314.48,2020/5/13,,
Los Angeles - Green Meadows*,98,455.71,2020/5/13,,
Los Angeles - Hancock Park,72,422.56,2020/5/13,,
Los Angeles - Harbor City,58,199.52,2020/5/13,,
Los Angeles - Harbor Gateway,90,206.42,2020/5/13,,
Los Angeles - Harbor Pines,6,249.07,2020/5/13,,
Los Angeles - Harvard Heights,91,504.57,2020/5/13,,
Los Angeles - Harvard Park,190,500.86,2020/5/13,,
Los Angeles - Highland Park,128,264.51,2020/5/13,,
Los Angeles - Historic Filipinotown*,88,634.46,2020/5/13,,
Los Angeles - Hollywood,224,328.19,2020/5/13,,
Los Angeles - Hollywood Hills*,74,251.41,2020/5/13,,
Los Angeles - Hyde Park,99,346.87,2020/5/13,,
Los Angeles - Jefferson Park,28,346.84,2020/5/13,,
Los Angeles - Koreatown,201,388.83,2020/5/13,,
Los Angeles - Lafayette Square,15,329.02,2020/5/13,,
Los Angeles - Lake Balboa,139,329.34,2020/5/13,,
Los Angeles - Lakeview Terrace,74,563.47,2020/5/13,,
Los Angeles - Leimert Park,43,282.24,2020/5/13,,
Los Angeles - Lincoln Heights,164,503.11,2020/5/13,,
Los Angeles - Little Armenia,164,2043.61,2020/5/13,,
Los Angeles - Little Bangladesh,97,342.24,2020/5/13,,
Los Angeles - Little Tokyo*,10,319.18,2020/5/13,,
Los Angeles - Longwood,17,394.98,2020/5/13,,
Los Angeles - Los Feliz,43,199,2020/5/13,,
Los Angeles - Manchester Square,18,210.87,2020/5/13,,
Los Angeles - Mandeville Canyon,1,32.01,2020/5/13,,
Los Angeles - Mar Vista,65,153.05,2020/5/13,,
Los Angeles - Marina Peninsula,9,206.42,2020/5/13,,
Los Angeles - Melrose,429,552.15,2020/5/13,,
Los Angeles - Mid-city,44,292.75,2020/5/13,,
Los Angeles - Miracle Mile,38,211.29,2020/5/13,,
Los Angeles - Mission Hills,102,422.82,2020/5/13,,
Los Angeles - Mt. Washington,66,273.35,2020/5/13,,
Los Angeles - North Hills*,281,456.35,2020/5/13,,
Los Angeles - North Hollywood*,517,341.43,2020/5/13,,
Los Angeles - Northridge,225,322.36,2020/5/13,,
Los Angeles - Pacific Palisades,40,187.87,2020/5/13,,
Los Angeles - Pacoima*,456,592.37,2020/5/13,,
Los Angeles - Palisades Highlands,3,78,2020/5/13,,
Los Angeles - Palms*,163,371.49,2020/5/13,,
Los Angeles - Panorama City,489,649.83,2020/5/13,,
